Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P12399	CTL2A_MOUSE	reviewed	Protein CTLA-2-alpha (Cytotoxic T-lymphocyte-associated protein 2-alpha)	Ctla2a	Mus musculus (Mouse)	137
O55038	CXL13_MOUSE	reviewed	C-X-C motif chemokine 13 (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13)	Cxcl13 Blc Scyb13	Mus musculus (Mouse)	109
P18406	CYR61_MOUSE	reviewed	Protein CYR61 (3CH61) (CCN family member 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10)	Cyr61 Ccn1 Igfbp10	Mus musculus (Mouse)	379
Q9D1D6	CTHR1_MOUSE	reviewed	Collagen triple helix repeat-containing protein 1	Cthrc1	Mus musculus (Mouse)	245
P10889	CXCL2_MOUSE	reviewed	C-X-C motif chemokine 2 (Macrophage inflammatory protein 2) (MIP2)	Cxcl2 Mip-2 Mip2 Scyb2	Mus musculus (Mouse)	100
Q64263	DAR10_MOUSE	reviewed	Alpha-defensin-related sequence 10 (CRS4C-4) (Cryptdin-related protein 4C-4) (Defensin-related cryptdin-related sequence 10)	Defa-rs10 Defcr-rs10	Mus musculus (Mouse)	91
P97792	CXAR_MOUSE	reviewed	Coxsackievirus and adenovirus receptor homolog (CAR) (mCAR)	Cxadr Car	Mus musculus (Mouse)	365
P17515	CXL10_MOUSE	reviewed	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (C7) (Interferon-gamma induced protein CRG-2) (Small-inducible cytokine B10)	Cxcl10 Crg2 Ifi10 Inp10 Scyb10	Mus musculus (Mouse)	98
Q76LW6	DAND5_MOUSE	reviewed	DAN domain family member 5 (Cerberus-like protein 2) (Cerl-2)	Dand5 Cerl2 Sp1	Mus musculus (Mouse)	185
Q91VD6	DEFB6_MOUSE	reviewed	Beta-defensin 6 (BD-6) (mBD-6) (Defensin, beta 6)	Defb6	Mus musculus (Mouse)	63
Q91V70	DEFB7_MOUSE	reviewed	Beta-defensin 7 (BD-7) (mBD-7) (mBD7) (Defensin, beta 7)	Defb7	Mus musculus (Mouse)	71
Q62165	DAG1_MOUSE	reviewed	Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	Dag1 Dag-1	Mus musculus (Mouse)	893
P50707	DEFA9_MOUSE	reviewed	Alpha-defensin 9 (Defensin-related cryptdin-9)	Defa9 Defcr9	Mus musculus (Mouse)	93
P50716	DAR12_MOUSE	reviewed	Alpha-defensin-related sequence 12 (CRS4C5) (Cryptdin-related protein 4C-5) (Defensin-related cryptdin-related sequence 12)	Defa-rs12 Defcr-rs12	Mus musculus (Mouse)	91
P50705	DEFA7_MOUSE	reviewed	Alpha-defensin 7 (Defensin-related cryptdin-7)	Defa7 Defcr7	Mus musculus (Mouse)	93
Q9QZZ6	DERM_MOUSE	reviewed	Dermatopontin (Early quiescence protein 1) (EQ-1) (Tyrosine-rich acidic matrix protein) (TRAMP)	Dpt	Mus musculus (Mouse)	201
P50711	DFA13_MOUSE	reviewed	Alpha-defensin 13 (Defensin-related cryptdin-13)	Defa13 Defcr13	Mus musculus (Mouse)	93
Q64016	DFA17_MOUSE	reviewed	Alpha-defensin 17 (Defensin-related cryptdin-17) (CRYP17) (Fragment)	Defa17 Defcr17	Mus musculus (Mouse)	82
Q45VN2	DFA20_MOUSE	reviewed	Alpha-defensin 20 (Cryptdin-4) (Defensin-related cryptdin-20)	Defa20 Defcr20	Mus musculus (Mouse)	95
Q8K4N3	DFB12_MOUSE	reviewed	Beta-defensin 12 (BD-12) (mBD-12) (Defensin, beta 12)	Defb12	Mus musculus (Mouse)	78
Q8K3U4	DFB36_MOUSE	reviewed	Beta-defensin 36 (BD-36) (mBD-36) (Defensin, beta 36)	Defb36	Mus musculus (Mouse)	67
Q70KL2	DFB40_MOUSE	reviewed	Beta-defensin 40 (BD-40) (mBD-40) (Defensin, beta 40)	Defb40	Mus musculus (Mouse)	73
Q30KM9	DFB43_MOUSE	reviewed	Beta-defensin 43 (BD-43) (mBD-43) (Defensin, beta 43)	Defb43	Mus musculus (Mouse)	69
Q3USZ8	DIA1_MOUSE	reviewed	Deleted in autism protein 1 homolog (Golgi Protein of 49 kDa) (GoPro49) (Hypoxia and AKT-induced stem cell factor) (HASF)		Mus musculus (Mouse)	430
P21460	CYTC_MOUSE	reviewed	Cystatin-C (Cystatin-3)	Cst3	Mus musculus (Mouse)	140
O89098	CYTF_MOUSE	reviewed	Cystatin-F (Cystatin-7) (Cystatin-like metastasis-associated protein) (CMAP) (Leukocystatin)	Cst7	Mus musculus (Mouse)	144
P50704	DEFA6_MOUSE	reviewed	Alpha-defensin 6/12 (Defensin-related cryptdin-6/12) (Cryptdin-2)	Defa6 Defcr6; Defa12 Defcr12	Mus musculus (Mouse)	93
P82020	DEFB2_MOUSE	reviewed	Beta-defensin 2 (BD-2) (mBD-2) (Defensin, beta 2)	Defb2	Mus musculus (Mouse)	71
Q9WTL0	DEFB3_MOUSE	reviewed	Beta-defensin 3 (BD-3) (mBD-3) (Defensin, beta 3)	Defb3 Bd3	Mus musculus (Mouse)	63
Q8R2I6	DEFB9_MOUSE	reviewed	Beta-defensin 9 (BD-9) (mBD-9) (Defensin, beta 9)	Defb9	Mus musculus (Mouse)	67
P50712	DFA14_MOUSE	reviewed	Alpha-defensin 14 (Defensin-related cryptdin-14) (Fragment)	Defa14 Defcr14	Mus musculus (Mouse)	85
Q5G866	DFA23_MOUSE	reviewed	Alpha-defensin 23 (Defensin-related cryptdin-23)	Defa23 Defcr23	Mus musculus (Mouse)	93
Q3L180	DFA26_MOUSE	reviewed	Alpha-defensin 26 (Defensin-related cryptdin-26)	Defa26 Defcr26	Mus musculus (Mouse)	93
Q30KP3	DFB20_MOUSE	reviewed	Beta-defensin 20 (BD-20) (mBD-20) (Defensin, beta 20)	Defb20	Mus musculus (Mouse)	96
P11477	DEFA1_MOUSE	reviewed	Alpha-defensin 1 (Cryptdin-1) (Defensin-related cryptdin peptide)	Defa1 Defcr Defcr1	Mus musculus (Mouse)	93
P50706	DEFA8_MOUSE	reviewed	Alpha-defensin 8 (Defensin-related cryptdin-8) (Fragment)	Defa8 Defcr8	Mus musculus (Mouse)	81
P50709	DFA11_MOUSE	reviewed	Alpha-defensin 11 (Defensin-related cryptdin-11) (Fragment)	Defa11 Defcr11	Mus musculus (Mouse)	85
Q5G865	DFA24_MOUSE	reviewed	Alpha-defensin 24 (Defensin-related cryptdin-24)	Defa24 Defcr24	Mus musculus (Mouse)	93
Q8C3I9	DIA1R_MOUSE	reviewed	Deleted in autism-related protein 1 homolog		Mus musculus (Mouse)	435
Q9QZL9	DKKL1_MOUSE	reviewed	Dickkopf-like protein 1 (Protein soggy-1) (SGY-1)	Dkkl1 Sgy1	Mus musculus (Mouse)	230
Q91V82	DEFB8_MOUSE	reviewed	Beta-defensin 8 (BD-8) (mBD-8) (Defensin, beta 8) (Defensin-related peptide) (Defr1)	Defb8	Mus musculus (Mouse)	60
P50708	DFA10_MOUSE	reviewed	Alpha-defensin 10 (Defensin-related cryptdin-10)	Defa10 Defcr10	Mus musculus (Mouse)	93
P50714	DFA16_MOUSE	reviewed	Alpha-defensin 16 (Defensin-related cryptdin-16)	Defa16 Defcr16	Mus musculus (Mouse)	93
Q8C1P2	DFA21_MOUSE	reviewed	Alpha-defensin 21 (Defensin-related cryptdin-21)	Defa21 Defcr21	Mus musculus (Mouse)	93
Q5G864	DFA25_MOUSE	reviewed	Alpha-defensin 25 (Defensin-related cryptdin-25)	Defa25 Defcr25	Mus musculus (Mouse)	92
P17534	DFAR2_MOUSE	reviewed	Alpha-defensin-related sequence 2 (CRS4C1) (Cryptdin-related protein 4C-1) (Defensin-related cryptdin-related sequence 2)	Defa-rs2 Defcr-rs2	Mus musculus (Mouse)	91
Q8R2I8	DFB10_MOUSE	reviewed	Beta-defensin 10 (BD-10) (mBD-10) (Defensin, beta 10)	Defb10	Mus musculus (Mouse)	73
Q8R2I4	DFB13_MOUSE	reviewed	Beta-defensin 13 (BD-13) (mBD-13) (Defensin, beta 13)	Defb13	Mus musculus (Mouse)	64
Q8R2I5	DFB15_MOUSE	reviewed	Beta-defensin 15 (BD-15) (mBD-15) (Defensin, beta 15)	Defb15	Mus musculus (Mouse)	79
Q30KN8	DFB25_MOUSE	reviewed	Beta-defensin 25 (BD-25) (mBD-25) (Defensin, beta 25)	Defb25	Mus musculus (Mouse)	71
Q30KN3	DFB33_MOUSE	reviewed	Beta-defensin 33 (BD-33) (mBD-33) (Defensin, beta 33)	Defb33	Mus musculus (Mouse)	62
Q8R2I3	DFB35_MOUSE	reviewed	Beta-defensin 35 (BD-35) (mBD-35) (Defensin, beta 35)	Defb35	Mus musculus (Mouse)	63
Q7TNV7	DFB38_MOUSE	reviewed	Beta-defensin 38 (BD-38) (mBD-38) (Defensin, beta 38)	Defb38	Mus musculus (Mouse)	63
Q8BVB5	DFB42_MOUSE	reviewed	Beta-defensin 42 (BD-42) (mBD-42) (Defensin, beta 42)	Defb42 Defb44	Mus musculus (Mouse)	75
Q5SS80	DHR13_MOUSE	reviewed	Dehydrogenase/reductase SDR family member 13 (EC 1.1.-.-) (Short chain dehydrogenase/reductase family 7C member 5)	Dhrs13 Sdr7c5	Mus musculus (Mouse)	376
O54908	DKK1_MOUSE	reviewed	Dickkopf-related protein 1 (Dickkopf-1) (Dkk-1) (mDkk-1)	Dkk1	Mus musculus (Mouse)	272
P28309	DEFA2_MOUSE	reviewed	Alpha-defensin 2 (Cryptdin-1) (Defensin-related cryptdin-2)	Defa2 Defcr2	Mus musculus (Mouse)	93
P28312	DEFA5_MOUSE	reviewed	Alpha-defensin 5 (Defensin-related cryptdin-5)	Defa5 Defcr5	Mus musculus (Mouse)	93
P56386	DEFB1_MOUSE	reviewed	Beta-defensin 1 (BD-1) (mBD-1) (Defensin, beta 1)	Defb1	Mus musculus (Mouse)	69
Q9EPV9	DEFB5_MOUSE	reviewed	Beta-defensin 5 (BD-5) (mBD-5) (Defensin, beta 5)	Defb5	Mus musculus (Mouse)	64
P50713	DFA15_MOUSE	reviewed	Alpha-defensin 15 (Defensin-related cryptdin-15)	Defa15 Defcr15	Mus musculus (Mouse)	93
Q8C1N8	DFA22_MOUSE	reviewed	Alpha-defensin 22 (Defensin-related cryptdin-22)	Defa22 Defcr22	Mus musculus (Mouse)	93
Q7TNV9	DFB14_MOUSE	reviewed	Beta-defensin 14 (BD-14) (mBD-14) (Defensin, beta 14)	Defb14	Mus musculus (Mouse)	67
Q30KP5	DFB18_MOUSE	reviewed	Beta-defensin 18 (BD-18) (mBD-18) (Defensin, beta 18)	Defb18	Mus musculus (Mouse)	85
Q8K3I8	DFB19_MOUSE	reviewed	Beta-defensin 19 (BD-19) (mBD-19) (Defensin, beta 19) (Testis-specific beta-defensin-like protein)	Defb19 Defb24 Tdl	Mus musculus (Mouse)	83
Q30KN4	DFB30_MOUSE	reviewed	Beta-defensin 30 (BD-30) (mBD-30) (Defensin, beta 30)	Defb30	Mus musculus (Mouse)	75
Q7TNV8	DFB34_MOUSE	reviewed	Beta-defensin 34 (BD-34) (mBD-34) (Defensin, beta 34)	Defb34	Mus musculus (Mouse)	81
Q61488	DHH_MOUSE	reviewed	Desert hedgehog protein (DHH) (HHG-3) [Cleaved into: Desert hedgehog protein N-product; Desert hedgehog protein C-product]	Dhh	Mus musculus (Mouse)	396
Q8BZE1	DMBTL_MOUSE	reviewed	Putative DMBT1-like protein		Mus musculus (Mouse)	841
P28310	DEFA3_MOUSE	reviewed	Alpha-defensin 3 (Defensin-related cryptdin-3)	Defa3 Defcr3	Mus musculus (Mouse)	93
P28311	DEFA4_MOUSE	reviewed	Alpha-defensin 4 (Defensin-related cryptdin-4)	Defa4 Defcr4	Mus musculus (Mouse)	92
P82019	DEFB4_MOUSE	reviewed	Beta-defensin 4 (BD-4) (mBD-4) (Defensin, beta 4)	Defb4 Bdef4	Mus musculus (Mouse)	63
P17533	DFAR1_MOUSE	reviewed	Alpha-defensin-related sequence 1 (CRS1C) (Cryptdin-related protein 1C) (Defensin-related cryptdin-related sequence 1)	Defa-rs1 Defcr-rs1	Mus musculus (Mouse)	116
P50715	DFAR7_MOUSE	reviewed	Alpha-defensin-related sequence 7 (CRS4C2) (Cryptdin-related protein 4C-2) (Defensin-related cryptdin-related sequence 7)	Defa-rs7 Defcr-rs7	Mus musculus (Mouse)	91
Q8R2I7	DFB11_MOUSE	reviewed	Beta-defensin 11 (BD-11) (mBD-11) (Defensin, beta 11)	Defb11	Mus musculus (Mouse)	77
Q8BGW9	DFB29_MOUSE	reviewed	Beta-defensin 29 (BD-29) (mBD-29) (Defensin, beta 29)	Defb29	Mus musculus (Mouse)	78
Q7TMD2	DFB37_MOUSE	reviewed	Beta-defensin 37 (BD-37) (mBD-37) (Defensin, beta 37)	Defb37	Mus musculus (Mouse)	62
Q70KL3	DFB39_MOUSE	reviewed	Beta-defensin 39 (BD-39) (mBD-39) (Defensin, beta 39)	Defb39	Mus musculus (Mouse)	74
Q30KP6	DFB41_MOUSE	reviewed	Beta-defensin 41 (BD-41) (mBD-41) (Defensin, beta 41)	Defb41 Defb16 Defb17 Gm15386	Mus musculus (Mouse)	65
Q6TU36	DFB50_MOUSE	reviewed	Beta-defensin 50 (BD-50) (mBD-50) (Defensin, beta 37) (Defensin, beta 50) (Prostate beta-defensin 1)	Defb50 Defb37 Pbd1	Mus musculus (Mouse)	73
Q9EQ06	DHB11_MOUSE	reviewed	Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Dehydrogenase/reductase SDR family member 8)	Hsd17b11 Dhrs8 Pan1b	Mus musculus (Mouse)	298
Q8VEJ3	DKK4_MOUSE	reviewed	Dickkopf-related protein 4 (Dickkopf-4) (Dkk-4)	Dkk4	Mus musculus (Mouse)	221
Q60997	DMBT1_MOUSE	reviewed	Deleted in malignant brain tumors 1 protein (Apactin) (CRP-ductin) (Glycoprotein 300) (gp300) (Hensin) (Mucin-like glycoprotein) (Muclin) (Vomeroglandin) (p80)	Dmbt1 Crpd	Mus musculus (Mouse)	2085
O55188	DMP1_MOUSE	reviewed	Dentin matrix acidic phosphoprotein 1 (DMP-1) (Dentin matrix protein 1) (AG1)	Dmp1 Dmp	Mus musculus (Mouse)	503
Q9D1G0	DNSL2_MOUSE	reviewed	Deoxyribonuclease-1-like 2 (EC 3.1.21.-) (Deoxyribonuclease I-like 2) (DNase I-like 2)	Dnase1l2	Mus musculus (Mouse)	278
Q9QYZ8	DKK2_MOUSE	reviewed	Dickkopf-related protein 2 (Dickkopf-2) (Dkk-2) (mDkk-2)	Dkk2	Mus musculus (Mouse)	259
Q9QUN9	DKK3_MOUSE	reviewed	Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (mDkk-3)	Dkk3	Mus musculus (Mouse)	349
P49183	DNAS1_MOUSE	reviewed	Deoxyribonuclease-1 (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I)	Dnase1 Dnl1	Mus musculus (Mouse)	284
Q8VCR2	DHB13_MOUSE	reviewed	17-beta-hydroxysteroid dehydrogenase 13 (17-beta-HSD 13) (EC 1.1.-.-) (Alcohol dehydrogenase PAN1B-like) (Short-chain dehydrogenase/reductase 9)	Hsd17b13 Scdr9	Mus musculus (Mouse)	304
Q3U0B3	DHR11_MOUSE	reviewed	Dehydrogenase/reductase SDR family member 11 (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 24C member 1)	Dhrs11 Sdr24c1	Mus musculus (Mouse)	260
Q8CHS7	DRS7C_MOUSE	reviewed	Dehydrogenase/reductase SDR family member 7C (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 2)	Dhrs7c Sdr32c2	Mus musculus (Mouse)	311
Q6P253	DMKN_MOUSE	reviewed	Dermokine (Epidermis-specific secreted protein SK30/SK89)	Dmkn	Mus musculus (Mouse)	517
Q6PAL1	DRAXI_MOUSE	reviewed	Draxin (Dorsal inhibitory axon guidance protein) (Dorsal repulsive axon guidance protein) (Neucrin)	Draxin	Mus musculus (Mouse)	343
Q9ET22	DPP2_MOUSE	reviewed	Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase)	Dpp7 Dpp2 Qpp	Mus musculus (Mouse)	506
P28843	DPP4_MOUSE	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (Thymocyte-activating molecule) (THAM) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	Dpp4 Cd26	Mus musculus (Mouse)	760
O54693	EDA_MOUSE	reviewed	Ectodysplasin-A (EDA protein homolog) (Tabby protein) [Cleaved into: Ectodysplasin-A, membrane form; Ectodysplasin-A, secreted form]	Eda Ed1 Ta	Mus musculus (Mouse)	391
Q61508	ECM1_MOUSE	reviewed	Extracellular matrix protein 1 (Secretory component p85)	Ecm1	Mus musculus (Mouse)	559
Q5FW85	ECM2_MOUSE	reviewed	Extracellular matrix protein 2 (Tenonectin)	Ecm2	Mus musculus (Mouse)	670
P22389	EDN2_MOUSE	reviewed	Endothelin-2 (ET-2) (Preproendothelin-2) (PPET2) (Vasoactive intestinal contractor) (VIC)	Edn2	Mus musculus (Mouse)	175
P48299	EDN3_MOUSE	reviewed	Endothelin-3 (ET-3) (Preproendothelin-3) (PPET3)	Edn3	Mus musculus (Mouse)	214
P22387	EDN1_MOUSE	reviewed	Endothelin-1 (ET-1) (Preproendothelin-1) (PPET1) [Cleaved into: Big endothelin-1]	Edn1	Mus musculus (Mouse)	202
Q9JJZ5	EGFL6_MOUSE	reviewed	Epidermal growth factor-like protein 6 (EGF-like protein 6) (MAM and EGF domains-containing gene protein) (Protein W80)	Egfl6 Maeg	Mus musculus (Mouse)	550
P97399	DSPP_MOUSE	reviewed	Dentin sialophosphoprotein (Dentin matrix protein 3) (DMP-3) [Cleaved into: Dentin phosphoprotein (Dentin phosphophoryn) (DPP); Dentin sialoprotein (DSP)]	Dspp Dmp3	Mus musculus (Mouse)	934
O35474	EDIL3_MOUSE	reviewed	EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)	Edil3 Del1	Mus musculus (Mouse)	480
P54320	ELN_MOUSE	reviewed	Elastin (Tropoelastin)	Eln	Mus musculus (Mouse)	860
P52793	EFNA1_MOUSE	reviewed	Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) [Cleaved into: Ephrin-A1, secreted form]	Efna1 Epgl1 Epl1 Lerk1	Mus musculus (Mouse)	205
Q6GUQ1	EGFL8_MOUSE	reviewed	Epidermal growth factor-like protein 8 (EGF-like protein 8)	Egfl8 Ng3	Mus musculus (Mouse)	293
Q8C522	ENDD1_MOUSE	reviewed	Endonuclease domain-containing 1 protein (EC 3.1.30.-)	Endod1 Kiaa0830	Mus musculus (Mouse)	501
Q8BHR2	ENOX1_MOUSE	reviewed	Ecto-NOX disulfide-thiol exchanger 1 (Constitutive Ecto-NOX) (cNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	Enox1	Mus musculus (Mouse)	643
P0DMC4	ELA_MOUSE	reviewed	Apelin receptor early endogenous ligand (Protein Elabela) (Protein Toddler)	Apela Ela Ende Gm10664 Tdl	Mus musculus (Mouse)	54
Q8K1D8	ENHO_MOUSE	reviewed	Adropin (Energy homeostasis-associated protein)	Enho	Mus musculus (Mouse)	76
Q9R1E6	ENPP2_MOUSE	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD)	Enpp2 Npps2 Pdnp2	Mus musculus (Mouse)	862
Q9EQG7	ENPP5_MOUSE	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 (E-NPP 5) (NPP-5) (EC 3.1.-.-)	Enpp5	Mus musculus (Mouse)	477
Q9WUZ9	ENTP5_MOUSE	reviewed	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)	Entpd5 Cd39l4	Mus musculus (Mouse)	427
Q4VBE4	EGFLA_MOUSE	reviewed	Pikachurin (EGF-like, fibronectin type-III and laminin G-like domain-containing protein) (Nectican)	Egflam	Mus musculus (Mouse)	1017
Q91VF5	EMID1_MOUSE	reviewed	EMI domain-containing protein 1 (Emilin and multimerin domain-containing protein 1) (Emu1)	Emid1 Emu1	Mus musculus (Mouse)	444
Q3V188	ENDOU_MOUSE	reviewed	Poly(U)-specific endoribonuclease (EC 3.1.-.-) (Placental protein 11-related protein) (PP11-related protein) (Protein endoU) (T-cell-specific protein 30) (Tcl-30) (Uridylate-specific endoribonuclease)	Endou Pp11r	Mus musculus (Mouse)	412
Q8R0Z2	ENOX2_MOUSE	reviewed	Ecto-NOX disulfide-thiol exchanger 2 (APK1 antigen) (Cytosolic ovarian carcinoma antigen 1) (Tumor-associated hydroquinone oxidase) (tNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	Enox2 Cova1	Mus musculus (Mouse)	598
P14753	EPOR_MOUSE	reviewed	Erythropoietin receptor (EPO-R)	Epor	Mus musculus (Mouse)	507
P70186	EPYC_MOUSE	reviewed	Epiphycan (Dermatan sulfate proteoglycan 3) (Proteoglycan-Lb) (PG-Lb) (Small chondroitin/dermatan sulfate proteoglycan)	Epyc Dspg3 Pglb	Mus musculus (Mouse)	322
Q6PGN1	ERFE_MOUSE	reviewed	Erythroferrone (Complement C1q tumor necrosis factor-related protein 15) (Myonectin)	Fam132b C1qtnf15 Ctrp15 Erfe	Mus musculus (Mouse)	340
Q3TAS6	EMC10_MOUSE	reviewed	ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1)	Emc10 Hsm1 Inm02	Mus musculus (Mouse)	258
Q99K41	EMIL1_MOUSE	reviewed	EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1)	Emilin1	Mus musculus (Mouse)	1017
Q99M71	EPDR1_MOUSE	reviewed	Mammalian ependymin-related protein 1 (MERP-1)	Epdr1 Epdr2 Merp1 Merp2	Mus musculus (Mouse)	224
P07321	EPO_MOUSE	reviewed	Erythropoietin	Epo	Mus musculus (Mouse)	192
Q6AW46	EST5A_MOUSE	reviewed	Carboxylesterase 5A (EC 3.1.1.1) (Carboxylesterase-like urinary excreted protein homolog) (Cauxin)	Ces5a Ces7	Mus musculus (Mouse)	575
Q9QXT5	EGFL7_MOUSE	reviewed	Epidermal growth factor-like protein 7 (EGF-like protein 7) (Multiple epidermal growth factor-like domains protein 7) (Multiple EGF-like domains protein 7) (NOTCH4-like protein) (Vascular endothelial statin) (VE-statin) (Zneu1)	Egfl7 Megf7	Mus musculus (Mouse)	275
P59900	EMIL3_MOUSE	reviewed	EMILIN-3 (EMILIN-5) (Elastin microfibril interface located protein 5) (Elastin microfibril interfacer 5) (Elastin microfibril interface-located protein 3) (Elastin microfibril interfacer 3)	Emilin3 Emilin5	Mus musculus (Mouse)	758
P06802	ENPP1_MOUSE	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Lymphocyte antigen 41) (Ly-41) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9)]	Enpp1 Npps Pc1 Pdnp1	Mus musculus (Mouse)	906
Q6DYE8	ENPP3_MOUSE	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9)]	Enpp3	Mus musculus (Mouse)	874
P29319	EPHA3_MOUSE	reviewed	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (mEK4) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1)	Epha3 Etk1 Mek4 Tyro4	Mus musculus (Mouse)	983
A8R0V4	ESP22_MOUSE	reviewed	Exocrine gland-secreted peptide 22	Esp22	Mus musculus (Mouse)	111
Q8K482	EMIL2_MOUSE	reviewed	EMILIN-2 (Basilin) (Elastin microfibril interface-located protein 2) (Elastin microfibril interfacer 2)	Emilin2	Mus musculus (Mouse)	1074
O08644	EPHB6_MOUSE	reviewed	Ephrin type-B receptor 6 (MEP) (Tyrosine-protein kinase-defective receptor EPH-6)	Ephb6 Cekl	Mus musculus (Mouse)	1014
Q3V1F8	EPHX3_MOUSE	reviewed	Epoxide hydrolase 3 (EC 3.3.-.-) (Abhydrolase domain-containing protein 9)	Ephx3 Abhd9	Mus musculus (Mouse)	367
O55196	ENAM_MOUSE	reviewed	Enamelin	Enam	Mus musculus (Mouse)	1274
Q9DA01	EPPI_MOUSE	reviewed	Eppin (Epididymal protease inhibitor) (Serine protease inhibitor-like with Kunitz and WAP domains 1)	Eppin Spinlw1	Mus musculus (Mouse)	134
Q61521	EREG_MOUSE	reviewed	Proepiregulin [Cleaved into: Epiregulin (EPR)]	Ereg	Mus musculus (Mouse)	162
Q80YC5	FA12_MOUSE	reviewed	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Coagulation factor XIIa light chain]	F12	Mus musculus (Mouse)	597
Q8CID3	FA20A_MOUSE	reviewed	Pseudokinase FAM20A	Fam20a	Mus musculus (Mouse)	541
Q9DAL9	FA24L_MOUSE	reviewed	Protein FAM24A-like		Mus musculus (Mouse)	119
Q06194	FA8_MOUSE	reviewed	Coagulation factor VIII (Procoagulant component)	F8 Cf8 F8c	Mus musculus (Mouse)	2319
Q9QYY7	ESM1_MOUSE	reviewed	Endothelial cell-specific molecule 1 (ESM-1)	Esm1	Mus musculus (Mouse)	184
Q7TPG5	F19A4_MOUSE	reviewed	Protein FAM19A4 (Chemokine-like protein TAFA-4)	Fam19a4 Tafa4	Mus musculus (Mouse)	135
Q91WE9	F19A5_MOUSE	reviewed	Protein FAM19A5 (Chemokine-like protein TAFA-5)	Fam19a5 Tafa5	Mus musculus (Mouse)	132
O88947	FA10_MOUSE	reviewed	Coagulation factor X (EC 3.4.21.6) (Stuart factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	F10	Mus musculus (Mouse)	481
Q8CF27	FA24A_MOUSE	reviewed	Protein FAM24A	Fam24a	Mus musculus (Mouse)	98
